id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size
20240116103339,1,0,0,0,0,../GRE/data/covid,lipp,2255216,2000000,176283550,1,6,45,485,1797,19780,116106,119152,245.321,1866,100,3.40339e+06,1,0,0,64,2000000
20240116113455,1,0,0,0,0,../GRE/data/covid,alex,7430600,2000000,16751200,3,24,114,437,955,14788,44297,49005,233.533,1866,100,830286,1,0,0,64,2000000
20240116113510,0.9,0.1,0,0,0,../GRE/data/covid,alex,7414465,1800000,16899424,3,25,122,465,1088,13324,31870,33541,251.325,1866,100,720504,1,0,0,64,2000000
20240116115152,0.9,0.1,0,0,0,../GRE/data/covid,alex,9493489,1800000,16899424,4,27,131,525,1135,13936,55266,55920,272.047,1866,100,956454,1,0,0,64,2000000
20240116184652,0,1,0,0,0,../GRE/data/covid,alex,2328572,2000000,16306528,1,91,312,599,3608,13281,67678,67779,458.808,1866,100,1.19111e+06,1,0,0,64,4000000
20240116184700,0,1,0,0,0,../GRE/data/covid,alex,2496666,2000000,16306528,1,83,292,549,3037,12026,46254,53122,419.59,1866,100,811678,1,0,0,64,4000000
20240116184708,0,1,0,0,0,../GRE/data/covid,alex,2223400,2000000,16306528,1,71,331,619,3645,12721,56720,116592,473.329,1866,100,1.48969e+06,1,0,0,64,4000000
20240116184715,0,1,0,0,0,../GRE/data/covid,alex,1906987,2000000,16306528,1,71,304,599,2300,13899,37651,48342,423.263,1866,100,808924,1,0,0,64,4000000
20240116184724,0,1,0,0,0,../GRE/data/covid,alex,1962824,2000000,16306528,1,81,339,688,3149,15006,43825,55998,510.555,1866,100,1.24082e+06,1,0,0,64,4000000
20240116184737,0,1,0,0,0,../GRE/data/covid,alex,2081417,2000000,16306528,1,88,343,658,3921,15918,55273,57840,505.456,1866,100,1.37859e+06,1,0,0,64,4000000
20240116185143,0,1,0,0,0,../GRE/data/covid,lipp,5877711,2000000,192020026,1,12,55,267,844,2051,53310,70143,142.173,1866,100,557918,1,0,0,64,4000000
20240116185155,0,1,0,0,0,../GRE/data/covid,lipp,5946307,2000000,192020026,1,12,53,281,887,4802,24347,56350,143.272,1866,100,348871,1,0,0,64,4000000
20240116185205,0,1,0,0,0,../GRE/data/covid,lipp,5742413,2000000,192020026,1,12,56,302,883,10423,24371,59464,151.767,1866,100,426287,1,0,0,64,4000000
20240116185215,0,1,0,0,0,../GRE/data/covid,lipp,5928715,2000000,192020026,1,12,52,296,877,8849,15307,18677,141.816,1866,100,179358,1,0,0,64,4000000
20240116185224,0,1,0,0,0,../GRE/data/covid,sali,2402130,2000000,382214592,1,43,247,770,2863,13324,31582,36225,428.999,1866,100,801715,1,0,0,64,4000000
20240116185243,0,1,0,0,0,../GRE/data/covid,sali,2215661,2000000,382214592,1,60,264,857,3193,13521,29282,30543,461.982,1866,100,774740,1,0,0,64,4000000
20240116185300,0,1,0,0,0,../GRE/data/covid,sali,2362369,2000000,382214592,1,39,244,811,2789,13937,55067,55157,430.351,1866,100,1.08423e+06,1,0,0,64,4000000
20240116190755,0,1,0,0,0,../GRE/data/covid,alex,2396220,2000000,16306528,1,74,309,579,3232,13263,22948,26298,439.576,1866,100,651279,1,0,0,64,4000000
20240116190801,0,1,0,0,0,../GRE/data/covid,alex,2368816,2000000,16306528,1,78,305,597,3601,16061,45549,46178,459.567,1866,100,1.21687e+06,1,0,0,64,4000000
20240116190826,0,1,0,0,0,../GRE/data/covid,alex,1916377,2000000,16306528,1,87,323,619,3651,14846,52947,92278,480.616,1866,100,1.46815e+06,1,0,0,64,4000000
20240116190829,0,1,0,0,0,../GRE/data/covid,alex,2192865,2000000,16306528,1,76,335,630,3801,14701,51538,54258,482.808,1866,100,1.08052e+06,1,0,0,64,4000000
